Ripper Arm Roll [deg],Ripper Arm Pitch [deg],Ripper Arm Yaw [deg],Ripper Roll [deg],Ripper Pitch [deg],Ripper Yaw [deg],ESP32 Roll [deg],ESP32 Pitch [deg],ESP32 Yaw [deg],Time [H:M:S:MS]
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:295.78
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:426.774
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:527.221
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:630.154
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:728.89
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:831.54
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:937.167
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:12.746
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:122.768
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:218.161
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:338.18
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:420.276
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:520.204
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:645.833
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:765.822
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:873.806
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:19:976.035
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:20:72.214
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:20:171.524
4.37,46.81,0,-7.25,106.69,0,2.87,-1.87,0,05:20:20:300.282
